,Rank,University,Location,URL,Address
63, 64,Ruprecht-Karls-Universitat Heidelberg,Germany,https://www.topuniversities.com/universities/ruprecht-karls-universitat-heidelberg,Grabengasse 1 Heidelberg
64, 65,University of Wisconsin-Madison,United States,https://www.topuniversities.com/universities/university-wisconsin-madison,University of Wisconsin-Madison Madison
65, 66,National Taiwan University (NTU),Taiwan,https://www.topuniversities.com/universities/national-taiwan-university-ntu,no info
66, 66,Universidad de Buenos Aires (UBA),Argentina,https://www.topuniversities.com/universities/universidad-de-buenos-aires-uba,Viamonte 430 Buenos Aires
67, 68,Ecole Polytechnique,France,https://www.topuniversities.com/universities/ecole-polytechnique,Route de Saclay Palaiseau
68, 69,Korea University,South Korea,https://www.topuniversities.com/universities/korea-university,145 Anam-Ro Seongbuk-Gu Seoul
69, 69,University of Zurich,Switzerland,https://www.topuniversities.com/universities/university-zurich,Rämistrasse 71 Zürich
70, 71,University of Texas at Austin,United States,https://www.topuniversities.com/universities/university-texas-austin,University of Texas at Austin Austin
71, 72,Osaka University,Japan,https://www.topuniversities.com/universities/osaka-university,1-1 Yamadaoka Suita Osaka
72, 72,University of Washington,United States,https://www.topuniversities.com/universities/university-washington,University of Washington Seattle
73, 74,Lomonosov Moscow State University,Russia,https://www.topuniversities.com/universities/lomonosov-moscow-state-university,GSP-1 Leninskie Gory Moscow
74, 75,Hong Kong Polytechnic University,Hong Kong,https://www.topuniversities.com/universities/hong-kong-polytechnic-university,No.11 Yuk Choi Rd Hung Hom Kowloon
75, 76,University of Copenhagen,Denmark,https://www.topuniversities.com/universities/university-copenhagen,Nørregade 10 Copenhagen
76, 77,Pohang University of Science and Technology (POSTECH),South Korea,https://www.topuniversities.com/universities/pohang-university-science-technology-postech,77 Cheongam-Ro Nam-Gu Pohang
77, 77,University of Glasgow,United Kingdom,https://www.topuniversities.com/universities/university-glasgow,University Avenue Glasgow
78, 79,Tohoku University,Japan,https://www.topuniversities.com/universities/tohoku-university,2-1-1 Katahira Aoba-ku Sendai
79, 80,Georgia Institute of Technology,United States,https://www.topuniversities.com/universities/georgia-institute-technology,North Avenue Atlanta
80, 81,University of Auckland,New Zealand,https://www.topuniversities.com/universities/university-auckland,no info
81, 82,University of Illinois at Urbana-Champaign,United States,https://www.topuniversities.com/universities/university-illinois-urbana-champaign,901 West Illinois Street Champaign
82, 83,Sorbonne University,France,https://www.topuniversities.com/universities/sorbonne-university,no info
83, 84,KU Leuven,Belgium,https://www.topuniversities.com/universities/ku-leuven,Oude Markt 13 Leuven
84, 86,Durham University,United Kingdom,https://www.topuniversities.com/universities/durham-university,The University Office The Palatine Centre Durham
85, 85,Yonsei University,South Korea,https://www.topuniversities.com/universities/yonsei-university,50 Yonsei-ro Seodaemun-gu Seoul
86, 87,University of Birmingham,United Kingdom,https://www.topuniversities.com/universities/university-birmingham,Edgbaston Birmingham
87, 88,Sungkyunkwan University (SKKU),South Korea,https://www.topuniversities.com/universities/sungkyunkwan-university-skku,2066 Seobu-ro Jangan-gu Suwon
88, 89,Rice University,United States,https://www.topuniversities.com/universities/rice-university,6100 Main Street Houston
89, 90,University of Southampton,United Kingdom,https://www.topuniversities.com/universities/university-southampton,University Road Southampton
90, 91,University of Leeds,United Kingdom,https://www.topuniversities.com/universities/university-leeds,Leeds
91, 92,University of Western Australia,Australia,https://www.topuniversities.com/universities/university-western-australia,35 Stirling Highway Crawley Perth
92, 93,University of Sheffield,United Kingdom,https://www.topuniversities.com/universities/university-sheffield,Western Bank Sheffield
93, 93,University of Science and Technology of China,China,https://www.topuniversities.com/universities/university-science-technology-china,No. 96 Jinzhai Road Hefei
94, 95,"University of North Carolina, Chapel Hill",United States,https://www.topuniversities.com/universities/university-north-carolina-chapel-hill,CB #2200 Jackson Hall Chapel Hill
95, 96,University of St Andrews,United Kingdom,https://www.topuniversities.com/universities/university-st-andrews,University of St Andrews St. Andrews
96, 97,Lund University,Sweden,https://www.topuniversities.com/universities/lund-university,Paradisgatan 2 Lund
97, 98,KTH Royal Institute of Technology,Sweden,https://www.topuniversities.com/universities/kth-royal-institute-technology,Brinellvägen 8 Stockholm
98, 99,University of Nottingham,United Kingdom,https://www.topuniversities.com/universities/university-nottingham,University Park Nottingham
99, 100,Universidad Nacional Autónoma de México (UNAM),Mexico,https://www.topuniversities.com/universities/universidad-nacional-autonoma-de-mexico-unam,Ciudad Universitaria s/n Mexico City
